NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22912.146484375;1034.8857421875;0;0;0;345.946472167969;432.43310546875;0;0;529.012878417969;1058.02563476562;1058.02563476562;1058.02563476562;529.012878417969;0;0;0;0;0;NA
NA;0;10027.404296875;0;0;0;89.9668884277344;0;0;0;0;0;0;0;0;278.608367919922;0;5971.083984375;38.7717323303223;0;0;0;345.946472167969;345.946472167969;0;0;991.898986816406;1058.02563476562;1058.02563476562;1058.02563476562;264.506439208984;0;0;0;0;NA
NA;0;0;1920.32983398438;0;0;269.900665283203;119.955848693848;0;0;503.740539550781;0;0;0;0;0;0;8555.1162109375;0;258.700927734375;0;0;0;345.946472167969;172.973220825195;10020.0654296875;330.633056640625;1058.02563476562;1058.02563476562;1058.02563476562;1058.02563476562;132.253219604492;0;0;0;NA
NA;0;995.717895507812;116.37427520752;0;0;359.867523193359;479.823333740234;119.955848693848;0;0;0;0;18280.39453125;0;0;285.030975341797;0;0;2976.7724609375;2979.46557617188;0;0;0;259.459838867188;401.151702880859;201.24235534668;548.135314941406;759.263366699219;938.520690917969;998.273132324219;812.641662597656;0;0;0;NA
NA;332.379028320312;0;0;0;0;59.9779243469238;479.823333740234;479.823333740234;419.845428466797;0;1318.61096191406;0;0;0;0;0;0;749.848327636719;0;0;4970.01123046875;0;0;0;0;0;643.975524902344;281.243621826172;699.510925292969;819.015808105469;460.501098632812;25.496545791626;0;0;NA
NA;7096.91845703125;343.3740234375;0;0;0;0;479.823333740234;479.823333740234;479.823333740234;29.9889621734619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402.484710693359;643.975524902344;101.986198425293;101.986198425293;221.491088867188;101.986198425293;6.37413644790649;14153.0263671875;NA
NA;13.1127271652222;4835.0302734375;0;0;0;0;0;479.823333740234;479.823333740234;269.900665283203;0;0;0;0;0;0;0;0;592.7177734375;803.85498046875;10046.158203125;0;694.939147949219;0;0;0;0;563.478576660156;643.975524902344;101.986198425293;101.986198425293;101.986198425293;57.3672332763672;0;NA
NA;0;0;0;1491.23095703125;2631.6787109375;0;30.4002246856689;0;479.823333740234;479.823333740234;0;0;0;0;0;0;0;0;0;17936.720703125;1926.4228515625;16133.2783203125;0;0;0;0;0;80.496940612793;643.975524902344;643.975524902344;101.986198425293;101.986198425293;101.986198425293;0;NA
NA;0;0;0;0;0;0;0;0;92.0027389526367;479.823333740234;479.823333740234;0;0;0;0;0;0;0;0;0;32530.99609375;16652.865234375;0;1515.87084960938;0;0;0;0;482.981658935547;643.975524902344;643.975524902344;101.986198425293;101.986198425293;19.1224098205566;NA
NA;0;8632.552734375;0;0;0;0;0;0;0;43.5066833496094;479.823333740234;89.9668884277344;0;0;0;0;0;0;0;3.97970581054688;3754.49829101562;14435.0263671875;954.172729492188;0;0;0;0;0;0;643.975524902344;643.975524902344;643.975524902344;101.986198425293;101.986198425293;NA
NA;0;0;0;0;0;4132.20458984375;0;0;0;0;326.300170898438;359.867523193359;2663.40844726562;0;0;0;0;0;0;585.515991210938;9009.9091796875;8264.5732421875;2101.09716796875;508.290374755859;0;0;0;0;0;321.987762451172;643.975524902344;643.975524902344;643.975524902344;101.986198425293;NA
NA;0;0;0;0;0;0;548.52880859375;1871.66333007812;0;31.6580390930176;0;348.053527832031;13284.240234375;0;0;0;0;0;0;227.371139526367;7800.869140625;1732.04870605469;2417.84790039062;3060.11987304688;0;0;0;0;0;0;523.230102539062;643.975524902344;643.975524902344;721.592834472656;NA
NA;0;0;0;0;0;0;0;0;10186.53515625;0;0;43.5066833496094;348.053527832031;0;0;0;0;4362.72021484375;0;17589.810546875;0;14541.4375;831.423767089844;3615.07421875;255.513671875;0;0;0;0;0;0;643.975524902344;643.975524902344;643.975524902344;NA
NA;0;0;0;0;0;4624.60400390625;0;0;0;0;0;2.38647484779358;87.0133666992188;369.543518066406;0;0;0;0;0;0;779.698547363281;0;0;4235.97216796875;2062.48706054688;98.8566818237305;0;0;0;0;0;0;643.975524902344;643.975524902344;NA
NA;22462.001953125;0;0;0;0;0;0;0;0;0;0;477.734497070312;0;87.0133666992188;627.422973632812;0;0;0;0;0;514.881958007812;0;1087.56823730469;5130.849609375;12780.0244140625;464.778167724609;0;0;0;0;0;0;28.3114471435547;643.975524902344;NA
NA;0;0;0;0;0;0;0;0;0;0;0;0;216.501892089844;0;367.699798583984;691.892883300781;0;0;0;0;0;198.379821777344;462.886291503906;536.959899902344;6757.814453125;5700.08251953125;0;2349.72607421875;0;0;0;0;0;424.671752929688;NA
NA;0;0;0;0;0;0;0;0;0;0;0;0;939.118103027344;0;43.2433052062988;691.892883300781;691.892883300781;0;0;0;0;0;859.645812988281;619.228271484375;683.318176269531;1785.44006347656;0;0;0;0;0;0;0;198.180130004883;NA
NA;0;0;0;0;0;0;0;0;0;108.049255371094;0;0;0;9343.482421875;8.96584892272949;172.973220825195;691.892883300781;691.892883300781;0;0;0;66.1266098022461;925.772399902344;1058.02563476562;529.012878417969;1301.9755859375;0;0;0;0;31294.931640625;195.888122558594;6588.6416015625;0;NA
NA;0;0;0;0;0;0;0;0;0;0;0;0;0;8754.8212890625;97.6097717285156;0;605.406311035156;691.892883300781;691.892883300781;0;0;0;727.392639160156;1058.02563476562;1058.02563476562;529.012878417969;0;0;0;0;0;0;0;0;NA
