NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;0;0;1084.49670410156;NA
NA;0;0;0;258.975646972656;0;0;NA
NA;0;0;0;0;2411.326171875;2248.271484375;NA
NA;0;0;0;4467.7822265625;7953.33447265625;497.511505126953;NA
NA;0;3409.67724609375;16624.75;30021.677734375;1833.98229980469;0;NA
NA;4109.2998046875;128670.8671875;80461.7265625;27245.427734375;138.264221191406;0;NA
NA;5873.095703125;141363.75;162874.25;94385.5859375;12790.2421875;2524.91235351562;NA
NA;0;52197.05078125;46236.37109375;26193.685546875;343.663665771484;470.005981445312;NA
NA;0;29679.09765625;8263.6806640625;4931.4619140625;22.9783515930176;0;NA
NA;NA;NA;NA;NA;NA;NA;NA
