NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;0;0;0;42.124153137207;4322.1845703125;5064.8828125;2913.98999023438;3607.48828125;6822.97705078125;9534.822265625;4026.64990234375;244.450241088867;0;0;0;0;345.517669677734;2165.42236328125;0;NA
NA;0;0;0;0;93.255126953125;1947.32958984375;8929.197265625;5239.46533203125;2569.6953125;2795.23803710938;711.084716796875;9015.904296875;386.414978027344;1191.16369628906;0;0;0;0;0;7514.1142578125;42.2003631591797;0;NA
NA;0;0;0;29.4719638824463;259.146575927734;4512.64453125;3517.30834960938;1800.23132324219;0;874.882751464844;1016.36743164062;1378.97216796875;564.950378417969;0;0;0;0;1999.78552246094;7.81719779968262;352.644653320312;0;0;NA
NA;0;0;627.120361328125;0;0;1309.34362792969;1408.31164550781;0;0;0;0;0;0;0;704.628173828125;0;2714.41186523438;2694.27685546875;2070.01147460938;0;0;0;NA
NA;0;3293.75366210938;0;0;0;0;84.5085906982422;0;0;0;0;0;0;0;1810.63916015625;0;1002.42596435547;1336.72888183594;0;4.4973669052124;914.1630859375;127.192459106445;NA
NA;1128.38000488281;0;0;0;0;0;0;0;0;0;0;480.082061767578;0;0;2855.84716796875;3033.96557617188;2880.04541015625;0;0;0;0;0;NA
NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5412.033203125;9653.33984375;0;0;43.238712310791;4018.11669921875;0;0;NA
NA;0;0;0;0;0;0;0;0;0;0;0;0;0;3945.79663085938;9464.6064453125;1306.45812988281;41.5860214233398;661.740417480469;34.9817008972168;252.173477172852;0;0;NA
NA;0;0;0;0;0;0;0;0;0;0;0;0;4.26018714904785;12383.5673828125;5496.05517578125;1046.83520507812;1845.06884765625;2761.08935546875;405.993804931641;0;0;0;NA
NA;0;0;0;0;0;0;0;0;107.540870666504;0;0;87.0507736206055;15080.001953125;4675.673828125;3963.9638671875;2578.10668945312;5645.6669921875;953.483337402344;0;0;0;0;NA
NA;0;0;0;0;0;0;0;0;0;0;115.297409057617;3128.77319335938;6084.31103515625;527.479370117188;616.714477539062;2919.34838867188;194.177688598633;165.461196899414;0;0;0;10.9800910949707;NA
NA;0;0;0;0;0;0;0;0;0;2395.91259765625;4425.31884765625;4404.13330078125;1749.83666992188;2534.5546875;2015.57202148438;3591.619140625;4797.72119140625;0;0;0;0;0;NA
NA;0;0;0;0;0;0;0;0;0;40.8234100341797;10775.205078125;2858.87817382812;5369.28857421875;4284.6845703125;11835.0087890625;13114.3291015625;0;0;0;0;0;0;NA
NA;0;0;0;0;0;0;0;0;0;2062.70166015625;11167.29296875;8843.5009765625;10688.72265625;10608.3056640625;9985.923828125;5.8669605255127;0;0;0;0;0;0;NA
NA;0;0;0;0;0;0;0;0;617.2177734375;1995.69396972656;9132.2490234375;14883.634765625;9094.5419921875;6809.0205078125;1928.16882324219;45.7646789550781;562.028686523438;0;0;0;0;0;NA
NA;0;0;0;0;0;0;45.0687980651855;3251.88671875;3000.14965820312;3217.34252929688;8212.6142578125;10820.486328125;9204.75;4989.17333984375;0;0;183.009246826172;0;0;465.931213378906;0;0;NA
NA;0;0;0;0;740.864562988281;0;0;4418.560546875;5970.798828125;4823.31884765625;16968.595703125;14344.6005859375;17500;3909.2939453125;23.7209014892578;0;88.7532119750977;0;220.081481933594;0;0;0;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
