NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5641.638671875;3954.95971679688;285.311462402344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;18.922290802002;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5816.54638671875;4835.55029296875;2875.4111328125;1154.62329101562;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;455.766235351562;28.8080558776855;83.3432464599609;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5670.66162109375;5797.001953125;5776.48974609375;2340.71240234375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;155.32763671875;200.591567993164;1524.65942382812;137.469696044922;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5596.92578125;5815.96875;5796.96142578125;5361.9580078125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;30.5505504608154;17.1867122650146;3118.39599609375;2537.5673828125;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5250.5791015625;5754.5595703125;5728.6904296875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;135.846038818359;1011.59936523438;4213.1533203125;45.516040802002;50.4163398742676;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;45.0452613830566;2.43346309661865;2339.384765625;387.498565673828;48.4212074279785;0;0;0;0;NA;NA;NA;0;0;0;1753.4091796875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;142.270568847656;0;24.3344345092773;1025.84106445312;20.0840358734131;1.10094261169434;0;0;0;0;0;0;4.09361028671265;0;0;394.412109375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0.0559917725622654;0;562.651306152344;25.3232173919678;0;0;0;0;0;0;0;0;0;0;0;61.078685760498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;51.8741416931152;0;1.85356974601746;0;0;0;0;0;0;0;0;0;0;0;0;153.842041015625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;84.6054992675781;0;0;73.5629653930664;0;0;0;0;2.69096255302429;0;0;0;0;0;0;0;118.528450012207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;20.9136371612549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.0474624633789;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;5.6108660697937;0;0;0;0;0;0;0;0;0;0;0;0;0;146.611465454102;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;20.6422672271729;0;47.3550796508789;28.3635845184326;0;0;45.1375350952148;0;0;0;0;0;0;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;73.6029357910156;0;0;37.7267913818359;0;46.808277130127;1125.119140625;0;0;0;0;0;0;0;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;562.72802734375;31.5553779602051;0;1613.63671875;731.236083984375;16.4086265563965;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;24.6716728210449;1399.01184082031;0;2178.96948242188;4338.62646484375;270.270721435547;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;0;0;0;0;1728.18371582031;0;78.8838348388672;4833.89892578125;1608.75048828125;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83.6898193359375;386.544616699219;1247.46166992188;NA;NA;NA;NA;NA;NA
NA;0;0;188.257659912109;0;12.3859558105469;2.87396359443665;0;2301.80004882812;3889.6337890625;1013.54156494141;0;0;0;0;0;0;NA;NA;NA;NA;NA;110.805679321289;69.8893203735352;291.631896972656;NA;NA;NA;468.789031982422;439.889495849609;294.049255371094;1144.67651367188;NA;NA;NA;NA;NA;NA
NA;0;0;0;0;75.4131393432617;11.4381666183472;0;1166.15173339844;5795.75341796875;1926.59826660156;0;0;0;0;0;0;0;NA;NA;NA;NA;36.8857803344727;6.84578990936279;15.9490299224854;NA;NA;NA;464.839630126953;680.439453125;583.353820800781;257.545745849609;NA;NA;NA;NA;NA;NA
