alpha,avgDistance,beta,entropy,moran,seed,slope,tsteps
0.1,0.922865293117212,0.01,0.9999374529958679,0.004082614917785767,-2390038422198978092,-0.026785185730266586,5.0
0.1,0.9231367504353545,0.01,0.9999449624083674,3.3135429246817225E-4,-4785243102911013094,-0.025406653371881287,5.0
0.1,0.923287573786657,0.01,0.9999376938361033,-6.675799940077646E-4,6612636649263431504,-0.0267652624672451,5.0
0.1,0.9230052233247698,0.01,0.9999389730195886,0.0011162563354609192,-4792184555942500086,-0.02659719697029865,5.0
2.0,0.28851769943953737,0.09999999999999999,0.6175155742859917,0.07185413917409611,4672947125213847070,-1.03959163087411,50.0
2.0,0.3292288578707678,0.09999999999999999,0.6377921591505465,0.07079018546560042,-5369270246743614088,-1.0551218281335728,50.0
2.0,0.32767447277437817,0.09999999999999999,0.6381596696643681,0.07075782007581446,3898617508387165674,-1.0344446531065468,50.0
2.0,0.37296576076394977,0.09999999999999999,0.6251971543094315,0.07641463901379209,8009350671994748972,-0.9412214052775186,50.0
2.0,0.29821626802636775,0.09999999999999999,0.6734774144766633,0.15594213377083838,3180220375470658481,-1.4882381861931382,100.0
2.0,0.39931879792196034,0.09999999999999999,0.634257806751272,0.0751060483196766,-7554834271345325740,-1.0287418040281602,50.0
2.0,0.37654592894406286,0.09999999999999999,0.6430948144415429,0.07155246502536977,2133643964094968304,-0.9776208384378575,50.0
2.0,0.2768464214636838,0.09999999999999999,0.6721376186711123,0.15401388050354528,3574389748084903985,-1.5865387829958615,100.0
2.0,0.3065777340296472,0.09999999999999999,0.6668480089156292,0.16488045020813755,-3874892447701305321,-1.5456180418611278,100.0
2.0,0.33482575488496474,0.09999999999999999,0.6914125005914319,0.1552986293509655,-1450710586334623077,-1.4098438955742139,100.0
2.0,0.2994866870534571,0.09999999999999999,0.6662337923925924,0.1578823337498495,3683858255493135460,-1.484070887352326,100.0
2.0,0.304431193426617,0.09999999999999999,0.6704793083459999,0.16033405875424706,-7357771707947234467,-1.5115844310525497,100.0
2.0,0.2964612844520686,0.09999999999999999,0.6834776713659065,0.15377841029033074,-1270132726092280672,-1.5314101411546523,100.0
2.0,0.2920441083563591,0.09999999999999999,0.6583081712040549,0.1615210137775007,4091617406247603196,-1.5141658521629948,100.0
2.0,0.2852287427074733,0.09999999999999999,0.6810989474157194,0.14778072938006834,5335176708466390687,-1.5459498480545981,100.0
2.0,0.2971140907218374,0.09999999999999999,0.6505159700477605,0.1695164736787246,8461696073932003905,-1.5515159863958308,100.0
2.0,0.33341400276601346,0.095,0.6938728137750911,0.13406112642687257,-258872713038252666,-1.4562485640738208,100.0
2.0,0.2854941083979264,0.095,0.6628077335896567,0.15303121357252583,4566816908943033574,-1.5162644467810953,100.0
2.0,0.2891725885246216,0.095,0.6660961495460425,0.15989620357114862,-8415219524987701404,-1.6274197881419243,100.0
2.0,0.526599148837833,0.09999999999999999,0.6598518974106781,0.06931119302336329,-2170402591329684219,-0.9404863887536143,50.0
2.0,0.2790929569055332,0.095,0.6576276768814373,0.15302358669589405,-68318615816204457,-1.5396392577183196,100.0
2.0,0.28594872214790973,0.095,0.6773435464572655,0.13984367142295437,-8323660664319875474,-1.5285554026942367,100.0
2.0,0.2957660189029713,0.095,0.6739001249299876,0.14987121986497143,-4264954440235735021,-1.4558413648595208,100.0
2.0,0.3138173412659338,0.095,0.6480753232740446,0.1616403362282082,-6123447467230094456,-1.4375541399747593,100.0
2.0,0.29016516388146096,0.095,0.6775450094951617,0.14442182810665816,-5395549308734029415,-1.5259965724860294,100.0
2.0,0.284840626976023,0.095,0.6552647074720317,0.15163104687853254,2767209894060931826,-1.4871671555383523,100.0
2.0,0.3466210267186224,0.09999999999999999,0.6395158994172235,0.07100390182486442,-1247051322256393742,-0.9604616546486963,50.0
2.0,0.8999118709639743,0.09999999999999999,0.9973887661614852,0.03896345298309968,4078344268637223426,-0.1677950763561218,5.0
2.0,0.9004221257681576,0.09999999999999999,0.9974672938623577,0.03831156062060133,4466893291859132314,-0.1659820297512514,5.0
2.0,0.9062517684727538,0.09999999999999999,0.9974647673367091,0.024317878924961494,7756508699341876364,-0.16589631340695674,5.0
2.0,0.904610853071424,0.09999999999999999,0.9975053277010886,0.030216473154152046,-2939435676723590852,-0.1650005818724464,5.0
2.0,0.9071162541009747,0.09999999999999999,0.9974381128143537,0.023807513962736115,6531589311992742002,-0.166981873051013,5.0
2.0,0.9066891371499795,0.09999999999999999,0.9972675417128004,0.027380433443787048,-6244802758516598744,-0.17229986421364768,5.0
2.0,0.6861705046026407,0.09999999999999999,0.7005547958289736,0.060480875179302826,-6252103229351673575,-1.0386568225089952,50.0
2.0,0.8997033909508303,0.09999999999999999,0.9971678671395686,0.03595867392013069,5339574892800367760,-0.1733021881806606,5.0
2.0,0.9019094497822889,0.09999999999999999,0.9973454173000716,0.03597663120900248,-5345937562191665255,-0.16958685687075686,5.0
2.0,0.3091276805917714,0.09999999999999999,0.6338753127651541,0.06931163353392059,1990424683824871089,-1.0834961839529533,50.0
2.0,0.9053272717881108,0.09999999999999999,0.9974193637078417,0.036014916356371295,30074379497113889,-0.1675950419658734,5.0
2.0,0.9044900261248278,0.09999999999999999,0.9974089785061435,0.03125143838608686,-8321865427693325038,-0.16758535676914532,5.0
2.0,0.39700753443184444,0.095,0.6182142835882376,0.07029447361760131,475808640157115929,-0.9264519854652419,50.0
2.0,0.3343158757629448,0.095,0.5826450358901053,0.07894459234334096,-7744962832078936656,-0.9744468438950198,50.0
2.0,0.28495211769937046,0.095,0.6564914014036017,0.1559716590315215,-129384055994180063,-1.4935002806234954,100.0
2.0,0.3718353609269089,0.095,0.6467329015671679,0.06376853073950794,2980650434939281704,-1.047847090263851,50.0
2.0,0.507206077249346,0.095,0.6313047748580294,0.07123020282911495,-8795596537486242293,-0.8483573919961566,50.0
2.0,0.3779954917274889,0.095,0.6547443035208743,0.06203509522306279,-7509011245574071889,-0.962812714395648,50.0
2.0,0.46769059616754094,0.095,0.6608786779093411,0.060541106825221354,-2485744710946932516,-1.0821723945757935,50.0
2.0,0.3438255325551446,0.095,0.6008887486153257,0.07431992334629157,-2602217668988531643,-0.9747060053211118,50.0
2.0,0.2822085666492141,0.09,0.6711423932478544,0.13069866179348338,-6444897905475999106,-1.5137973758829744,100.0
2.0,0.2558422877331353,0.09,0.6571138073042896,0.13654683947326024,8517593359459527849,-1.6047597098994575,100.0
2.0,0.32308282992448384,0.09,0.6796029616210435,0.13794134965484825,-2096896677694696624,-1.4284308642715453,100.0
2.0,0.27544379737663605,0.09,0.6466858741627088,0.14978069402494207,-5829155935855193469,-1.5869920160213047,100.0
2.0,0.27613330175582296,0.09,0.6711607655876868,0.13136443998688996,7539942193628114576,-1.4094288805847588,100.0
2.0,0.2897986475779849,0.09,0.6645129396692325,0.1428047765793661,3669508304189271140,-1.443018936416353,100.0
2.0,0.31451536284497916,0.09,0.6756699649016703,0.1392611740181057,1091998568068727976,-1.5524930988967622,100.0
2.0,0.9015198897137612,0.095,0.9973733306972672,0.03350351527528361,-1628655500643646380,-0.16912771576306287,5.0
2.0,0.9006376266988899,0.095,0.9973140479781882,0.035832517095666934,4644248699350590394,-0.1715841720707465,5.0
2.0,0.9058824696884251,0.095,0.9974403972247264,0.026739697518082896,6777219411862601418,-0.16793803121504922,5.0
2.0,0.9077644825364908,0.095,0.9975167209962904,0.022263240144626155,-1033690552816262123,-0.16463444197515417,5.0
2.0,0.90568703131085,0.095,0.9973850599189078,0.03299859147331666,3858115970286757830,-0.16983705345150485,5.0
2.0,0.9042506876211016,0.095,0.997432003715959,0.03247092041828549,-3496712320752115000,-0.16607683102374204,5.0
