evolution$generation,alpha,beta,tsteps,popfit,indicsfit,evolution$samples
300,6.144582806455103,0.0685456036035179,33.00385990758793,4.601470263029746E11,2.9586638263366463,5
300,1.16847471240889,0.0,1.0,4.095273493726439E8,1.6715057356979717,1
300,0.7755227882860027,0.0753685768777192,97.18287652197147,5.427886692992353E10,0.8195522875119703,1
300,1.1210971215464078,0.09597152068815976,62.47408084613033,4.849846040175189E10,0.8712248932614787,1
300,1.964365950331585,0.014333393042177421,54.839560005624755,8.023143749396149E9,1.4358312296443572,2
300,1.3778875850175694,0.1,25.312000794242742,3.088512838464992E10,1.0807295914143005,1
300,1.0622606593807076,0.09999890548849794,49.53516429128471,4.469416927232426E10,0.9092533540429029,1
300,1.0568127447264684,0.07807881421691935,55.114735827385125,4.1658713310132E10,0.9420535455813287,1
300,1.058776470318111,0.1,41.25089085856167,4.0994286262610954E10,0.9494650198208806,2
300,1.123069133889586,0.09587577468412542,60.144944692558774,4.7567071269090996E10,0.8811243323958143,1
300,0.9627398001770633,0.09857767266276435,51.33531507941831,4.551533892078163E10,0.8985137779732283,1
300,1.741209299897665,0.1,90.58816737459173,5.699229994473753E10,0.8552367652767343,2
300,0.9843380701849389,0.09642179530825061,18.566562321451997,2.557271286147758E10,1.1035629753598193,1
300,0.9845870948424398,0.07116243066027841,36.29032594194516,3.197691784215095E10,1.0420835074087396,1
300,2.389835255674048,0.038670981656997956,38.9107361580123,1.8409997665723816E10,1.337465477188569,2
300,0.9844309697356501,0.09642467046578815,18.474746348532204,2.4739633571515636E10,1.1123399750204384,1
300,1.1184155862797147,0.09724423250435665,13.057035763839151,1.7795168468629784E10,1.1902332699088172,1
300,1.150392462002784,0.09721073192189038,16.412465334359364,2.2289087767162624E10,1.1456162398010192,1
300,0.949947056026224,0.1,32.18168039177853,3.6743121152777E10,0.9926298121326219,1
300,1.0483610753256263,0.1,27.673844901581894,3.3568745870984962E10,1.0283302001510508,1
300,0.9440612060545204,0.09730047120375525,10.38660056610352,1.43826049057073E10,1.2211352501489419,1
300,2.2930530827079036,0.03290848861586989,39.228323618866014,1.556643678760146E10,1.3625346382113512,2
300,1.1445434806079857,0.08899064697530704,34.54470409940836,3.494264636727691E10,1.0193722629273831,3
300,2.2920824544409095,0.029756171327887285,39.2955242986031,1.3546488542286093E10,1.3899400754044056,1
300,1.1128509867429985,0.09707133926985753,17.06451174343172,2.337434317916778E10,1.1319614292556524,1
300,2.2966600306300986,0.02127199149564775,49.26700329381767,1.2256973171491255E10,1.4220867662231607,3
300,2.2971155110547277,0.022325353861702046,49.71297857253294,1.2831485360595127E10,1.4062961274141839,4
300,1.054687084976504,0.1,14.384859811930479,2.0953384408992443E10,1.1525729843522383,1
300,0.9579197735888088,0.1,30.742981404578273,3.585874147289936E10,1.0019299822017877,1
300,0.9920460740875643,0.09635456400125689,1.0,1.5760197512758517E9,1.551279510877888,1
300,0.932372913465098,0.09993820314078687,27.32051495438178,3.3963800410144E10,1.0209184319579805,1
300,1.1629400192598438,0.09967445113063292,35.055691349283784,3.75646631782892E10,0.992328174974322,2
300,0.8991769018436896,0.1,10.125526413198417,1.4970037542829554E10,1.2119881003486477,1
300,1.7472618204998813,0.09826985418940226,100.0,5.9244880853341324E10,0.8393808993012326,2
300,0.23275694667442148,0.003965646909008344,60.39970354565655,3.040865300305725E9,1.5377872696139523,2
300,1.7348734359083062,0.09882096125044487,98.55520184289473,5.897614576640529E10,0.8395742334606368,3
300,1.0679403783854051,0.0881182817643607,17.78731817510924,2.1712723725870296E10,1.146171343015022,1
300,1.036359871187251,0.09927207802053949,29.130259873307534,3.449859392856379E10,1.0181435924107463,1
300,0.9890368122517488,0.0988385823592021,35.204444122235984,3.801890303626523E10,0.9796995645422164,2
300,2.297497340472832,0.025306085043276624,44.265269318073145,1.32614682539665E10,1.402275559470121,1
300,0.9212504639060849,0.09994221255992285,28.410590600765843,3.453605935957759E10,1.0150957803141067,1
