evolution$generation,growthRate,gravityWeight,gravityGamma,gravityDecay,mselog,logmse
1000,0.0142214583434571,0.004110737241217904,7.987074003955098E-7,71.48338510670314,649.6626026352886,35.61838241547878
1000,7.964008463954924E-5,0.02719053278885324,2.4512848786343922E-6,14156.254883730282,545.5567584224361,36.122880410769824
1000,0.01508284567278819,0.003467782272788872,5.305943199809148E-6,64.31995689790834,639.1251808135538,35.63101973357552
1000,0.014461931239089199,0.004113074245974672,3.5447209229235045E-8,97.50219902853635,642.2010834718077,35.63001831898288
1000,0.015282236516997625,0.0036714091020143553,4.632388959061517E-6,69.63513798003537,635.3370409862747,35.632069354173865
1000,0.014241002526655036,0.004119593542588709,2.0388951190394344E-8,85.61173955516298,647.0704366976505,35.62089947965344
1000,0.015408035204738414,0.0032692553124757345,0.003076348663959603,67.24924163042847,634.6268115191017,35.635908240420214
1000,0.015546028404856516,0.0035011154970624927,2.950735766611792E-5,67.14814057513262,632.2942244487272,35.636767871998735
1000,0.014210877189795688,0.004542418718603057,4.255741111816435E-6,91.38783561764973,645.9977464688656,35.62113009891357
1000,0.016188655698294075,0.003270143773459038,2.2041593873767384E-6,66.57386123863687,624.2301812196592,35.648942960287954
1000,0.01432556769364913,0.004125705952236249,7.569651555669707E-7,97.64330648918661,644.1142197124833,35.62894562335315
1000,0.016174549267282207,0.0036815512837260565,1.7718498160474542E-6,76.18572153385112,623.0569502598535,35.651030269314525
1000,0.016421995103992598,0.0030772964907987894,1.858833232757805E-6,68.78476441487987,621.2374519318757,35.654095985732255
1000,0.015926986581233964,0.003217418824966083,0.0029686204732955078,72.58308512750598,627.0772643659706,35.644771254989685
1000,0.01627313632423241,0.0030660927519064306,1.8499885009640938E-6,74.54167359454382,622.5268453990369,35.65300530482389
1000,0.0165216797663577,0.0032522732557363643,1.0065484715872162E-5,75.03978462516349,619.1861019190821,35.657336621232496
1000,0.015526366683806242,0.0036504155029940307,4.7985961773690015E-6,79.5016245641323,630.7593474985051,35.63739583035713
1000,0.01652442052632286,0.003080494348137218,1.8647760425440955E-6,69.63602916306577,619.8815540794142,35.65643505070656
1000,0.008822222161868523,0.010667879998694558,2.6661127669681452E-6,2673.7653984884423,598.4602455719171,35.69989573953472
1000,0.01660885614706364,0.0031682027512063195,6.448765713183064E-6,77.894191740291,617.923458638564,35.66057393369379
1000,0.009998335185163073,0.010823037135619976,1.3000617602581548E-7,3036.4717950986355,581.7638020839208,35.7245435372237
1000,0.017400456336034136,0.0029483659956406967,2.87103389229807E-6,92.56870196122429,607.8709425680369,35.68949364777511
1000,0.01737544641613751,0.0029751554192355488,1.9513400603404584E-6,85.83399194151846,608.655437099931,35.68500417338449
1000,0.009926113871046001,0.010843864847090663,1.6959297655107969E-6,3034.575393487616,582.3131031766686,35.72324350427737
1000,0.014316336826022298,0.004105652767935544,2.5882484239221997E-5,95.220494004272,644.6264753080526,35.627484297581844
1000,0.017223376882213978,0.0028372730271611518,0.002212626984239011,66.9331678742222,612.200418591246,35.673896637255474
1000,0.01670595916362594,0.003057176386662452,7.315333042700678E-7,72.24622257876229,617.4427627628263,35.66126637341362
1000,0.017101617495481312,0.0030646921779640284,1.0865080995907917E-6,73.51197008511018,612.7281866998093,35.67198190663752
1000,0.015716457060230477,0.0033801948457821626,2.5297971746566933E-5,66.16765162615512,630.2758678484308,35.6398675905604
1000,0.009688063458001552,0.011774153463213345,3.1431495690406933E-6,4511.717190022498,572.1898932023619,35.75533074671864
1000,0.016636908404943293,0.0030660264630801154,2.1634560603915617E-6,68.12953548257506,618.6898665759004,35.65885646221068
1000,0.007533247217125498,0.016134489356900587,1.1287365238530719E-7,7493.066229195088,555.3480127915052,35.86422605444285
1000,0.008617905878324523,0.010418344451990897,1.1587194929314406E-6,2281.165225002581,607.0083532511683,35.695237450545385
1000,0.010082157541235374,0.012328458197359254,1.3227365770036247E-6,4642.835066282386,564.6401967358507,35.7898815787535
1000,0.016525376928804552,0.0030700764533587387,2.7718727089820234E-4,66.33600240655419,620.2495934156912,35.65622008358765
1000,0.017295369058382994,0.002914844219039583,7.5840222955999405E-6,71.06935606618791,610.8672511486261,35.67661358142796
1000,0.008527078528687634,0.010927217891674943,1.6890268890473132E-6,2496.302347806114,600.7471136436758,35.69815660474904
1000,0.00918088636647094,0.010219608455804342,6.524830367120444E-5,2482.986571728079,600.2078009714064,35.69862223079455
1000,0.008605311140119669,0.010591240633858561,5.805383598462446E-7,2426.334980314467,603.9386509645755,35.6963813685572
1000,0.015729513706557684,0.0036161070978206985,2.902211448525678E-4,84.38959094299156,627.5856182373971,35.64328025986481
1000,0.011680299127167799,0.010612465904427385,2.02282353405725E-6,4000.8589507846,565.8167442462734,35.78395059884402
1000,0.008825170349661305,0.014507554120027423,1.79001125413112E-7,6438.157207529785,557.4741775421318,35.842893963858536
1000,0.01118773700311889,0.01056707935265376,1.502562373894701E-6,3431.577038669076,571.4121701557867,35.75717654955945
1000,0.011139163632826195,0.010886778522388833,2.8835057103208836E-4,4086.4045353203824,567.9118538093159,35.7736015615041
1000,0.009322903683618452,0.010557750487872879,1.220866238568571E-5,2666.231408880354,593.6668020388362,35.70426480187181
1000,0.0036083865486014085,0.02009654096903537,5.0700662363676524E-8,9736.133034429258,554.8512280582145,35.87127477011701
1000,0.00914440908024866,0.010804371564901714,3.2597445077205147E-6,2933.409097316019,591.6150565865966,35.706974929504824
1000,0.01687433036017521,0.0031665149410690834,6.513329984634521E-7,74.51212435524322,615.1617485253835,35.66616518615657
1000,0.017269613429153063,0.003236223865018361,5.708269779848922E-6,88.93040431399943,609.3547041773461,35.68393529742635
1000,0.008908927512176078,0.010744432402817243,6.65603660682483E-6,2624.655729409718,596.9566682273796,35.70096291415999
1000,0.008837016478053265,0.01075560796357423,1.5623608726823155E-6,2455.049052001635,599.0604546755462,35.699353035220916
1000,0.008694870632732962,0.010444230299725223,1.951512534811142E-7,2259.3111725736576,605.9376239291067,35.6955641474366
1000,0.00934555556652716,0.010576604782611972,1.2340218460376161E-5,2657.4979106929277,593.2765202918207,35.70472356693298
1000,0.007049269272906066,0.01814308428244808,1.647848418997548E-6,9007.199204840628,548.868388559073,35.96217582190821
1000,0.016475930324311282,0.0030466711488065733,2.64829186558445E-6,68.70899197556348,620.6124864886848,35.65535705913556
1000,0.009403439683293784,0.011241172816427718,3.7094790194374964E-6,3219.8456595862035,583.1910051077907,35.72127728135925
1000,0.009333259151898239,0.01073497381890773,2.887647414454802E-6,2933.4805310066863,590.1633649448453,35.70885972807205
1000,0.01681447366366127,0.003030781335122896,2.731445909635684E-6,73.95046699606549,616.0142822537271,35.664486963333395
1000,0.008699303828592613,0.012775880626427386,2.974930471672223E-4,4585.571073724021,572.5817543537321,35.7541914850317
1000,0.009212052473156629,0.010920132848067941,1.2092433798632294E-6,2690.711654339301,591.2231101970619,35.707571478367655
1000,0.01690706218955464,0.003195761637618899,1.4012023491296341E-6,75.88529411655624,614.6334028268512,35.66754195591534
1000,0.008895930599802277,0.010770914919650636,1.1865383982104258E-6,2472.508048367703,598.0424746879435,35.70019072662803
1000,0.00941744767243994,0.011111843116219135,6.769230776049987E-5,3156.2010667861086,584.543566630667,35.71851417828855
1000,0.009861947373384163,0.011343706622391155,5.686150535621856E-5,3308.718560773358,577.4520406866142,35.736237321347474
1000,0.009582063399524056,0.011267294572246973,6.291584892145732E-5,3165.9313041891965,581.4260487300919,35.725548130097245
1000,0.009808515955319164,0.011168226875721353,2.698338404829919E-4,3791.391171098153,577.8970428157995,35.73569719445408
1000,0.009147681720742226,0.010559589032791241,8.153678212568317E-5,2601.4454950042514,596.183897071532,35.70171052442007
1000,0.008684994919308131,0.014869422093462573,1.3622197045781215E-6,6469.829661595441,556.2852974753761,35.85393423782654
1000,0.017057101580383326,0.0028206347029477944,8.921501467267514E-8,68.26810237665833,613.9176854856738,35.66964732587823
1000,0.009372372582545162,0.010591255009556745,2.7446788052274138E-6,2631.6979083269366,592.9993094265302,35.70508554892422
1000,0.008136173728151267,0.014097824896032389,6.120969165040098E-6,5511.1116124304535,565.4880522890763,35.78638039023342
1000,0.016699772993801747,0.003160749708241163,1.8358045757812156E-6,75.41920226007987,617.1025483639287,35.661866644392816
1000,0.008070839393719798,0.015219823190340041,3.942155081371105E-6,6476.377506569654,557.8447065516814,35.83948793103023
1000,0.008348406661102993,0.016012259167375364,4.549422993783856E-5,7411.616642631938,552.1268240596569,35.90410741917322
1000,0.007458061432774551,0.016447956050182178,1.283349156188681E-6,7321.334801543445,554.269615897535,35.87582902705432
1000,0.009361403961590306,0.010737349040311006,1.7478825233867695E-6,2976.3761792316614,589.5960408711408,35.709733357615654
1000,0.010139071091810259,0.012380809807817934,7.857123212108464E-6,4466.985604167778,564.1884133876304,35.79270145655836
1000,0.008488334719499935,0.01631330911793226,2.6844079969122034E-8,8289.721366059104,550.1967875096162,35.93627544684249
1000,0.009367696777809013,0.01110197154950653,4.129917633239935E-5,3181.3251570268803,585.0327264734851,35.71754632905649
1000,0.011331908629371744,0.0107087114092652,5.303763004641462E-6,4120.62037488127,567.5681709053889,35.774921077725054
1000,0.007950643434789711,0.016449908392997287,5.731904882593171E-7,7795.508134936393,551.8478902139309,35.907848921107224
1000,0.009671795042850508,0.012195747344428864,2.8736568757045794E-6,4021.041736542317,570.0427554715095,35.762825488365564
1000,0.00939544972487958,0.010810956439007924,2.8187671687796967E-6,2932.342774062284,588.735020712882,35.7109101145285
1000,0.009539817975040173,0.01108936519627761,1.3009820219805425E-6,3138.593628708463,583.542538639105,35.720470628316335
1000,0.008144312632537383,0.016929422446682225,1.5944966416814343E-6,8502.561019818055,549.2767500176858,35.953995802897985
1000,0.010119483711279216,0.012288380586833196,1.4699024192061186E-6,4475.745072157129,564.925340656828,35.7882302783908
1000,0.008651502927613089,0.010619814281848139,9.527655513552828E-7,2368.1562690126966,603.5637555700164,35.69651081993533
1000,0.017442266183377665,0.0027835119228819495,5.273649244704447E-7,68.2672717635113,609.5651880765394,35.680125519064475
1000,0.007336528946050686,0.015575880248418328,1.668998996993877E-6,6640.188042220173,560.1308192688388,35.82145715987625
1000,0.010118722916323404,0.012264720893603528,4.203396136529575E-6,4413.2386647302865,565.2079329393127,35.78665512536923
1000,0.00876442247649536,0.010392366336312298,1.6954150831245313E-6,2357.3081800459436,604.6625686862186,35.69607637256746
1000,0.009305090917513642,0.01207686645728421,2.500331804771853E-6,3803.989609177092,574.7420890752428,35.74474403792261
1000,0.009351356397374179,0.010681111402927969,6.178133771829504E-5,2908.2776897261365,590.6489825755872,35.708241116242476
1000,0.01007757591386963,0.01069885041984187,5.142313132313437E-5,3323.5831280070843,580.8686089295527,35.726772246682266
1000,0.017100601393455237,0.00282328416007105,3.6889505436337132E-6,68.04951399428312,613.4286400768707,35.670688641055555
1000,0.008048013701984108,0.01480650419403924,1.7513810025836396E-6,6497.505117143992,560.4278549938806,35.81928215970487
1000,0.009364583132323454,0.0109026892493311,4.2438800470346206E-5,2986.331855330032,587.9135572870139,35.71229535883813
1000,0.0098831337777334,0.011472890259112516,2.816809583638604E-4,3838.9667828720476,574.4708390558771,35.746019089298905
1000,0.008427924489051306,0.010696561799296175,1.6824362139772197E-8,2404.3287299427284,605.2818283556152,35.69582972589586
1000,0.00881217840853373,0.016990644807714884,1.3789821361700732E-7,9401.455289863305,547.3435818623118,36.00929738499962
1000,0.009517916836443874,0.01043379821563385,4.639670636453041E-7,2782.579051748228,591.9184316376833,35.70645648741361
1000,0.016877775418316768,0.0029533766161012596,7.532385635071035E-6,71.35205657710104,615.5963177754547,35.6654957413212
1000,0.016305344987340698,0.0031433560792608404,0.0029385635958647308,69.9883282630193,622.6206643593968,35.651706215272
1000,0.009385273150083695,0.011198822509287547,3.0032954084055322E-6,3219.3532761964866,583.7666461021556,35.720046411314264
1000,0.016881255521581436,0.0031946873746518363,1.401753353399545E-6,76.14151863200118,614.9016342426569,35.66689450539362
1000,0.017405438841938712,0.002854648120308246,2.6869835531746783E-5,68.43732734188247,609.9208485702708,35.67921423846099
1000,0.014323843941109127,0.004142793764021792,2.3540597888434183E-8,97.16466606468144,644.1639743401678,35.628358829360884
1000,0.009562245259411024,0.01066925447642017,3.832992435304021E-5,3062.6683880103683,587.6246749985141,35.7129561186681
1000,0.008249796328907445,0.0183138617341989,4.588729382382158E-6,9842.335297453776,546.1496818365688,36.06536089784613
1000,0.008826737890448466,0.011126389893911053,8.079510460488521E-5,2832.8302804867835,592.6651039083513,35.70567261430281
1000,0.010156434378996448,0.012383964669378841,7.991331612208093E-6,4465.749702015188,564.0472792298038,35.793573531875865
1000,0.009408547093226562,0.010738972570981338,1.950681303533337E-6,2661.206421336536,590.9565588450617,35.70787781837055
1000,0.009956323130966905,0.01107820728412013,7.56649517705967E-6,3446.93901939012,578.247649862547,35.73347135124219
1000,0.008920089467844755,0.012195999160920554,2.7626759853108934E-4,3896.5039212507004,577.1045605723222,35.738010114885384
1000,0.009299081159154718,0.011134653201057684,3.388563226403741E-6,3323.894017193232,584.8210879965309,35.71818319640781
1000,0.017076128292203032,0.003003819166660527,1.435055626247212E-7,68.25352268672171,613.5675531000597,35.67017221960652
1000,0.01717005987067277,0.0029098381699187714,2.6408611225583724E-6,76.77421371719322,611.767302129772,35.67506781841491
1000,0.009166517020906356,0.010220705629415457,6.172807807899187E-5,2356.133435625838,601.4163634784999,35.69775975981444
1000,0.007478933675523171,0.017310546666543577,1.0505899081826995E-6,7774.45449759438,550.4636261353176,35.93059954260112
1000,0.007986949663849715,0.014824333767962812,1.7354136029839905E-6,6544.04089837386,560.683793444217,35.817588512100485
1000,0.009494347108783592,0.010736805086712611,2.996475625408287E-6,2794.650162660115,589.1547936209555,35.710293624547
1000,0.00843454891820975,0.016143421107605284,1.0199677186365897E-5,7403.697075317681,551.2565870637602,35.91715807477134
1000,0.009843262747501948,0.012309820741872687,1.3860238788860458E-5,4446.707226401929,566.8985109381983,35.77753852629845
1000,0.009682964004247783,0.011208913791901622,6.369067412396376E-5,3245.9269093529515,580.5742873318877,35.727474244986844
1000,0.009456006868651052,0.011124241793297155,1.2719644261053535E-6,3120.1525830234823,584.1788587997092,35.71916561140213
1000,0.01676926927245972,0.003098577262002519,5.365838738746932E-6,72.1394597575015,616.6681652509872,35.66272653919228
1000,0.008524366505097457,0.0108747721552177,9.180037603666588E-7,2449.0635143629065,601.7417857553908,35.69754000605364
1000,0.007955753118396022,0.01631474977096195,6.437355556241293E-8,7399.05410674612,552.5335145149396,35.89785143027379
1000,0.007577533340813171,0.017861723748189992,2.336274858633002E-5,8336.141770998196,548.3380095962414,35.976332594405434
1000,0.009922664912341998,0.012008074815247356,1.5395718391993184E-6,4572.450858100292,568.2672576248317,35.77118272010251
1000,0.008084721323033964,0.016028192664289873,9.268676502244964E-7,7415.514896362909,553.1893537162643,35.88916271583325
1000,0.009720422101129049,0.011840784089630508,4.758408720407592E-5,3642.9341426665364,573.4855706937543,35.749373938258735
1000,0.009201071134029645,0.013998066552124913,1.2551932992801288E-6,6234.933554475853,558.2913473206224,35.83583048841993
1000,0.008404006499058002,0.01481180958460174,1.495362568183738E-6,6048.107377898059,558.53154958023,35.83340383091848
1000,0.011416071263956756,0.010532202483015236,1.4442170994614496E-5,3451.8466085250957,569.7439034877576,35.76456932103261
1000,0.010173858027359331,0.011100425415488,6.78203951976831E-5,3308.2063927864783,576.564465808063,35.73879514431563
1000,0.017250705211949335,0.0030091559183448137,1.9224465418207624E-6,71.26757197120781,611.3054246834586,35.67565776487173
1000,0.00951310052521995,0.010906541855475408,1.2984049304316516E-7,3009.625715336305,586.141573795001,35.71530186532888
