evolution$generation,alpha,beta,tsteps,popfit,indicsfit,evolution$samples
200,0.0022303810298159735,0.048606007171365734,81.05381452266475,2.6664663810514383E7,3.884925070904059,2
200,0.8927082228555916,0.08693018169867206,9.07581911998367,5.39480070495917E8,2.0636294988004167,5
200,5.778269467506256,0.03326364998876898,75.75842659354237,2.710126517850928E7,3.969892751045794,3
200,0.0,0.028511616757939964,31.405299558115438,6.563940662290676E8,0.6482419917037968,1
200,0.0,0.010773448740922693,10.69249586551416,3.2395861707144395E7,1.3045452961081392,2
200,0.24628494460393435,0.013040133667448883,57.17475059135871,4.6055028314820457E8,1.0328779713296952,1
200,0.24133790134378524,0.012295043662216447,58.24623148939212,4.314882267434473E8,1.0415223432930385,1
200,0.42796127964533276,0.085974630182985,13.84806930055282,8.611592632462966E8,1.1759235059653692,2
200,0.12364782072385547,0.086828453537893,9.420178219564688,5.689481613876444E8,0.755589661389217,1
200,0.0,0.008767963905277005,10.44794346890226,2.9051334073668014E7,1.346625050009202,1
200,0.0,0.07027383377652663,31.408847944457904,2.693354051211835E7,2.2832653043483293,1
200,0.0,0.1,41.46011823253682,2.854904649532389E7,2.300787650733935,2
200,0.0,0.06198593765672505,34.27329447690816,2.6740764543977086E7,2.3467749356413736,2
200,9.494997995466381,0.09183145408903687,80.35183544674794,2.801623551911918E7,3.7070884331338507,3
200,6.026916328939396,0.08585252333001732,38.8630763054079,2.77562968075343E7,3.7290205185764824,4
200,0.0,0.06800031004350614,33.94148054398958,2.686847926873802E7,2.3099264462458176,1
200,0.0,0.056553588772116616,73.88632273364297,2.666698167153523E7,2.6948929502322896,2
200,0.0,0.06476224417793167,33.40376309553507,2.6793336130734734E7,2.3429237270477006,2
200,0.0,0.04878248546089119,80.10009784893207,2.6666493096311793E7,2.7852956345670687,1
