"ID","Name","Long","Lat","X1964","X1982","X1990","X2000"
2123210802,"Yingkou",122.235418,40.667012,225857,370122,524441,630208
2011441901,"Dongguan",113.751765,23.020536,153109,369986,1741731,3870036
2113410803,"Jiaozuo",113.241823,35.215893,159140,362804,521190,674387
2074421002,"Jingzhou",112.239741,30.335165,116969,361877,372216,909698
2095410502,"Anyang",114.392756,36.097593,192098,360068,522428,768992
2065370802,"Jining",116.587099,35.414921,111206,352509,559683,1050522
2082430211,"Zhuzhou",113.133775,27.827827,190740,343996,507459,837102
2079410411,"Pingdingshan",113.192814,33.76619,103839,342205,571731,871274
2027350205,"Xiamen",118.08942,24.479836,233841,342139,491934,1982449
2085440803,"Zhanjiang",110.359387,21.270702,157662,339949,705844,832273
2099341202,"Fuyang",115.814205,32.890124,88574,339687,495594,742862
2043442001,"Zhongshan",113.392795,22.516686,77189,333252,1237432,1434251
2096450311,"Guilin",110.290195,25.273566,155118,325491,488153,764424
2102420502,"Yichang",111.286471,30.691967,111671,325039,460734,712738
2107321111,"Zhenjiang",119.45722,32.199147,174442,321802,495277,695663
2100340603,"Huaibei",116.798265,33.955845,201292,314443,484990,741195
2101130303,"Qinhuangdao",119.600492,39.935377,163930,312464,468587,718229
2031340504,"Suzhou",120.585316,31.298886,451495,289872,257705,1806874
2078420602,"Xiangfan",112.122415,32.008986,88768,289146,505405,871388
2055370602,"Yantai",121.447926,37.463819,157141,284024,452944,1294598
2103321011,"Yangzhou",119.412966,32.39421,160309,282087,419871,711993
2040371311,"Linyi",118.356448,35.104672,64665,277698,903488,1483941
2070370902,"Taian",117.087614,36.200252,75120,273023,735169,937761
2086610403,"Xianyang",108.709003,34.329563,96425,267116,540037,823213
2072430603,"Yueyang",113.128958,29.357104,75553,262840,529843,912993
2090370503,"Dongying",118.674767,37.434751,130164,262576,474732,788844
2094150403,"Chifeng",118.886856,42.257817,121746,258900,345035,769645
2109520302,"Zunyi",106.927389,27.725654,42864,251342,278821,691694
2098460102,"Haikou",110.328859,20.030793,123312,198395,374542,757640
2062350505,"Quanzhou",118.586812,24.907574,106144,195679,366635,1089507
2080510704,"Mianyang",104.679114,31.46745,82876,187831,505985,865807
2068450902,"Yulin",109.734556,38.285342,58433,177993,161990,987912
3038440682,"Nanhai",113.143313,23.028904,93290,172557,210233,1533141
2059331004,"Taizhou",121.420757,28.656386,94698,156104,266804,1200809
2006440308,"Shenzhen",114.057868,22.543099,37887,151921,975512,7008831
2032511302,"Nanchong",106.110698,30.837793,114108,151284,533799,1771920
2122371102,"Rizhao",119.526888,35.416377,135960,150787,248388,631562
2084430902,"Yiyang",112.35518,28.55386,87642,149201,183395,833353
2118440902,"Maoming",110.925456,21.662999,38089,140951,532715,644301
3060440681,"Shunde",113.293359,22.80524,125404,125404,626480,1175386
2097430702,"Changde",111.698497,29.031673,95674,88443,256678,759262
2105411303,"Nanyang",112.528345,32.990614,17887,80253,228293,696638
2106511002,"Neijiang",105.058433,29.580229,15751,73154,526733,696158
2083440402,"Zhuhai",113.576726,22.270715,22456,68868,331065,833908
2121330602,"Shaoxing",120.586109,29.995762,165258,233842,293404,633118
2120445202,"Jieyang",116.372831,23.549993,132066,142765,179128,633570
3112330282,"Cixi",121.266461,30.169699,77162,165120,207178,675727
3117445281,"Puning",116.166004,23.297642,34607,93082,116791,646327
