"ID","Name","Long","Lat","X1961","X1981","X1991","X2001","X2011"
"Cut7057","Cuttack",85.9003,20.4573,274188,415141,446321,542176,614510
"Nel2558","Nellore",79.984416,14.453515,172733,294601,383421,475655,590711
"Ajm9730","Ajmer",74.6376,26.4503,232652,405498,423031,515235,581448
"Dur14013","Durgapur",87.2816,23.5643,209725,415448,432885,503608,580172
"Asa14155","Asansol",86.9612,23.6897,143482,247963,272698,487639,579100
"Bok14081","BokaroSteelCity",86.146362,23.662424,241044,378559,406259,500505,570496
"Beg15385","Begusarai",86.137,25.4225,186012,297985,337842,481026,569110
"Mal6407","Malegaon",74.5254,20.5552,132735,272814,370798,460067,565354
"Kis13397","KismatBajkul",87.843144,22.002793,226107,375800,408026,478550,559012
"San4301","Sangli-MirajKupwad",74.581184,16.851265,246730,367587,408511,484760,551560
"Nan5884","Nanded-Waghala",77.311119,19.167024,197250,278499,319400,462455,550564
"Jha9064","Jhansi",78.57654,25.444019,233161,362994,411214,465280,549238
"Pan12202","Panipat",76.973,29.3848,189235,245158,256317,421222,542636
"Gul4655","Gulbarga",76.8369,17.3396,214535,286046,310920,430265,532031
"Jam7765","Jamnagar",70.057152,22.463656,266608,396329,401074,539889,531854
"Tir141","Tirunelveli",77.739524,8.721627,100723,130882,155260,444913,523004
"Uda8688","Udaipur",73.7008,24.5786,199394,303819,338450,431917,517227
"Rau13477","Raurkela",84.8719,22.2238,143514,231195,242712,500519,517003
"Ujj7995","Ujjain",75.776785,23.18863,142012,278454,362633,431162,515215
"Bel3173","Belgaum",74.523319,15.866045,319363,577506,405569,482548,511858
"Bha15154","Bhagalpur",86.9748,25.2428,173450,284450,305257,424480,506491
"Gay14681","Gaya",85.0085,24.7881,118484,300863,318767,422359,505689
"Ako6401","Akola",77.0034,20.7102,205357,365638,384370,455577,502583
"Muz12341","Muzaffarnagar",77.7007,29.471,162669,257034,280770,394725,500984
"Man2065","Mangalore",74.8627,12.8742,226447,319793,445126,439787,484785
"Amb12821","Ambala",76.772315,30.385342,144990,201612,212508,410650,469734
"Jal6596","Jalgaon",75.5636,21.0028,83702,232505,242193,368618,460468
"Mat10656","Mathura",77.6701,27.4992,165975,257001,267733,363390,457100
"Bil7388","Bilaspur",82.1647,22.0837,165001,283597,302609,395120,450098
"Tam13547","Tamluk",87.9235,22.2931,194275,312498,343635,386197,446371
"Kul14178","Kulti",86.836447,23.736507,202359,298474,318997,406883,443872
"Dav2599","Davanagere",75.9221,14.4672,161765,289617,293304,371325,441803
"Pat12861","Patiala",76.392,30.3303,120964,220369,270363,344391,433749
"Dhu6583","Dhule",74.768695,20.901141,127847,228096,297790,377914,433157
"Raj4361","Rajahmundry",81.776704,17.006791,244456,433116,466500,451312,431661
"Yam12754","Yamunanagar",77.281898,30.135076,190522,261972,272753,352101,427380
"Bel2833","Bellary",76.9337,15.1444,133042,201579,245391,316766,409644
"Dar16666","Darbhanga",85.8973,26.1571,147358,223769,289389,360316,407117
"His11984","Hisar",75.723,29.1502,158018,246721,258811,354733,404453
"Ahm5868","Ahmadnagar",74.736987,19.093904,207269,370972,422764,368893,398693
"Lat5392","Latur",76.569852,18.395382,147420,189548,202372,305910,396769
"Sha10908","Shahjahanpur",79.909962,27.875241,190175,245085,285489,361516,396639
"Mun15207","Munger",86.474443,25.377987,144180,278055,299759,354755,395961
"Roh11790","Rohtak",76.5823,28.898,93292,211180,240682,323502,391906
"Bar13894","Barddhaman",87.8652,23.2339,162611,264023,280685,338275,388345
"Cha6110","Chandrapur",79.297344,19.958329,173268,244952,276579,351910,385350
"Vel2024","Vellore",79.137318,12.921237,134286,229979,275579,336169,382790
"Bra6950","Brahmapur",84.7949,19.3154,158631,208751,220151,323717,382611
