"ID","Name","Long","Lat","X1960","X1970","X1980","X1991","X1996","X2001"
"80601","BALFOUR",28.59534,-26.65175,0.1,6009,9430,13778,20855,24486
"80701","BETHAL",29.49855,-26.47441,11988,17337,27021,28370,42795,44290
"80707","HIGHVELD RIDGE_EVANDER/SECUNDA/EMBALENHLE",29.09887,-26.47076,0.1,6592,35332,94563,110807,139620
"80928","OGIES/PHOLA",29.05753,-26.05097,0.1,6389,7971,16937,20060,23759
"80948","WITBANK",29.25981,-25.89265,25881,37456,80602,114612,169403,189153
"81006","MIDDELBURG/MHLUZI",29.47307,-25.77454,12941,26942,37380,64171,67407,88311
"81307","SIYABUSWA/IN MDUTJANE",29.04947,-25.11511,0.1,0.1,15213,31193,39590,48508
"81402","LYDENBURG",30.46741,-25.09747,7587,7427,10857,12757,18260,23039
"81517","NELSPRUIT",30.98526,-25.48717,15498,25092,56241,79065,96584,108304
"81601","BARBERTON",31.03876,-25.78104,11075,12382,16395,16731,24887,30891
"90101","GIYANI",30.84243,-23.49789,0.1,0.1,0.1,15061,20883,34441
"90312","TZANEEN",30.15854,-23.83807,6237,7700,20035,30901,49102,63063
"90412","PHALABORWA",30.936,-23.69603,0.1,19521,29207,38738,59062,90049
"90719","THOHOYANDOU",30.46857,-22.96107,0.1,0.1,0.1,0.1,31353,32738
"91215","PIETERSBURG",29.4741,-23.92161,28071,45621,63074,89254,105217,133383
"91304","LEBOWAKGOMO",29.49842,-24.32222,0.1,0.1,0.1,20184,22642,26189
"91702","NYLSTROOM",28.4041,-24.70356,6662,6906,9072,13432,18428,33810
"91803","WARMBATHS",28.28243,-24.88015,6351,8393,12015,18257,28214,32150
"91913","POTGIETERSRUS",29.00656,-24.19454,11491,16736,22864,55298,90707,131073
