"ID","Name","Long","Lat","X1960","X1970","X1980","X1990","X2000","X2010"
"3902638","Ashtabula",-80.796976,41.877138,93067,98237,104215,99821,102728,101497
"3912000","Canton",-81.375792,40.804958,340345,372210,404421,394106,406934,404422
"3914184","Chillicothe",-82.983822,39.336525,61215,61211,65004,69330,73345,78064
"3915000","Cincinnati",-84.503088,39.13616,1071624,1384851,1401491,1744124,2009632,2114580
"3916000","Cleveland",-81.669718,41.482301,1796595,2064194,1898825,2102248,2148143,2077240
"3918000","Columbus",-82.99146,39.989783,682962,916228,1093316,1377419,1612694,1901974
"3921000","Dayton",-84.196665,39.762708,694623,850266,830070,843835,848153,799232
"3943554","Lima",-84.114997,40.7407,103691,142278,145232,109755,108473,106331
"3947138","Mansfield",-82.522855,40.754856,56431,129997,131205,126137,128852,124475
"3955216","New Philadelphia",-81.447324,40.489411,76789,77211,84614,84090,90914,92582
"3964304","Portsmouth",-82.965436,38.743186,84216,76951,84545,80327,79195,79499
"3969834","Salem",-80.852831,40.900885,0.1,0.1,0.1,0.1,0.1,107841
"3970380","Sandusky",-82.709092,41.446741,31989,32674,31360,29571,79551,77079
"3974118","Springfield",-83.804131,39.927067,131440,157115,150236,147548,144742,138333
"3974608","Steubenville",-80.631483,40.365535,167756,165627,163099,142523,132008,124454
"3977000","Toledo",-83.575337,41.665682,456931,574092,656940,654157,659188,610001
"3986548","Wooster",-81.937258,40.809301,75497,87123,97408,101461,111564,114520
"3988000","Youngstown",-80.649299,41.096258,636525,663178,659649,613622,602964,565773
"3988084","Zanesville",-82.01215,39.946049,79159,77826,83340,82068,84585,86074
"4041850","Lawton",-98.417781,34.609424,90803,108144,112456,111486,114996,130291
"4055000","Oklahoma City",-97.534994,35.482309,511833,640889,778849,900079,1095421,1252987
"4070300","Stillwater",-97.068537,36.121538,44231,50654,62435,61507,68190,77350
"4075000","Tulsa",-95.937332,36.131294,418974,476945,657173,708954,859532,937478
"4101000","Albany",-123.095992,44.630188,58867,71914,89495,91227,103069,116672
"4105800","Bend",-121.308085,44.056434,11936,13710,17263,23694,115367,157733
"4115800","Corvallis",-123.275998,44.57078,20669,35153,40960,44804,78153,85579
"4123850","Eugene",-123.110345,44.057663,162890,213358,275226,282912,322959,351715
"4130550","Grants Pass",-123.328249,42.438969,29917,35746,58855,62649,75726,82713
"4147000","Medford",-122.861874,42.331998,33544,40796,132456,146389,181269,203206
"4157150","Pendleton",-118.798118,45.670308,44352,44923,58861,59249,81543,87062
"4159000","Portland",-122.640155,45.52304,821897,1009129,1242594,1477895,1927881,2226009
"4163650","Roseburg",-123.356047,43.217964,68458,71743,93748,94649,100399,107667
"4164900","Salem",-123.029159,44.931109,49142,186658,249895,278024,347214,390738
"4202000","Allentown",-75.477328,40.601697,492168,543551,635481,686688,740395,821173
"4202184","Altoona",-78.399758,40.51072,137270,135356,136621,130542,129144,127089
"4207128","Bloomsburg",-76.45395,41.000614,53489,55114,61967,63202,82387,85562
"4212536","Chambersburg",-77.656352,39.934813,88172,100833,113629,121082,129313,149618
"4220136","DuBois",-78.761962,41.120304,81534,74619,83578,78097,83382,81642
"4221872","East Stroudsburg",-75.180111,41.001442,13744,13345,13187,14093,138687,169842
"4224000","Erie",-80.076213,42.114507,250682,263654,279780,275572,280843,280566
"4228960","Gettysburg",-77.234218,39.82929,7960,7275,7194,7025,91292,101407
"4232800","Harrisburg",-76.875613,40.269789,345071,410626,446576,474242,509074,549475
"4236816","Indiana",-79.154903,40.621084,75366,79451,92281,89994,89605,88880
"4238288","Johnstown",-78.920954,40.325174,203283,186785,183263,163029,152598,143679
"4241216","Lancaster",-76.304366,40.03986,278359,319693,362346,422822,470658,519445
"4242168","Lebanon",-76.420853,40.341529,30045,38981,35315,113744,120327,133568
"4248360","Meadville",-80.147441,41.642133,77956,81342,88869,86169,90366,88765
"4253368","New Castle",-80.344556,40.997325,112965,107374,107150,96246,94643,91108
"4260000","Philadelphia",-75.144793,39.998012,4342897,4817914,4716818,5435468,5687147,5965343
"4261000","Pittsburgh",-79.977292,40.441419,2405435,2401245,2263894,2242798,2431087,2356285
"4262432","Pottsville",-76.202747,40.685058,173027,160089,160630,152585,150336,148289
"4263624","Reading",-75.926301,40.341692,275414,296382,312509,336523,373638,411442
"4269000","Scranton",-75.667411,41.410629,234531,234107,570987,575264,560625,563631
"4271776","Somerset",-79.081297,40.00692,0.1,0.1,0.1,0.1,80023,77742
